item_sno,name,image,material,effect
TMfxIJzt93E2h1RSayn3F,[멜슨] 커피나무로 만든 커피츄 100% 강아지 우드 스틱 이갈이 장난감 (사은품증정),https://shopping-phinf.pstatic.net/main_8287341/82873411430.jpg?type=f140,원목,"치석케어, 분리불안해소"
T5gjfNg39LnRH0T57V6q2,스위티 천연 라텍스공,https://shopping-phinf.pstatic.net/main_1951932/19519327408.20190528174921.jpg?type=f140,고무/실리콘,"소리나는, 치석케어, 흥미유발"
TdpvDr5n416qPZk4OTTk1,(6종) 강아지 대형견 터그 놀이 장난감 리트리버 네이비60cm,https://shopping-phinf.pstatic.net/main_8272471/82724719338.6.jpg?type=f140,실/끈,"치석케어, 흥미유발, 분리불안해소"
Tyz39XcoxhI33ru6WQJ62,펫모닝 바베큐 애견 인형,https://shopping-phinf.pstatic.net/main_2011675/20116752872.20200803125447.jpg?type=f140,합성섬유,"치석케어, 두뇌개발, 흥미유발, 분리불안해소"
TU0A13e767MAg46l28LD3,핏펫 Dr Sul 닥터설 터그 낚시대 강아지 고양이 장난감,https://shopping-phinf.pstatic.net/main_8258470/82584700463.2.jpg?type=f140,실/끈,"흥미유발, 분리불안해소"
T7yMLBbWKWq8A0eYKY1K5,캣츠크라프트 고양이 이갈이 장난감 고양이치발기 2m,https://shopping-phinf.pstatic.net/main_8436046/84360462172.jpg?type=f140,종이,"흥미유발, 분리불안해소"
Tq52KYvQ9n7djeMlZcF1A,딩독 개지터블 오이 1p 강아지 삑삑 노즈워크 장난감,https://shopping-phinf.pstatic.net/main_8420482/84204824714.jpg?type=f140,폴리에스테르,"소리나는, 간식넣는, 흥미유발"
Tc361s8Nn564dX1Srwc5q,기그위 트로피카나 러버 투칸 Gigwi 강아지 장난감 D8138,https://shopping-phinf.pstatic.net/main_8293204/82932045446.jpg?type=f140,폴리에스테르,"소리나는, 흥미유발"
Tfr9CnDIC00rz9tUNXmm3,딩독 개지터블 당근 1p 강아지 삑삑 노즈워크 장난감,https://shopping-phinf.pstatic.net/main_8420477/84204776959.jpg?type=f140,폴리에스테르,"소리나는, 간식넣는, 흥미유발"
Tq7wbOvHg4Yk8qomBZPrc,셀프 강아지터그놀이 쭉쭉볼 중형견 대형견 장난감 고급형,https://shopping-phinf.pstatic.net/main_8230574/82305745965.2.jpg?type=f140,,"소리나는, 간식넣는, 분리불안해소"
T26a89AV515w7HHv6S66q,지피포우즈 강아지장난감인형 강아지터그놀이 삑삑이 대형견장난감 이갈이,https://shopping-phinf.pstatic.net/main_8219468/82194686374.1.jpg?type=f140,폴리에스테르,"소리나는, 간식넣는, 두뇌개발"
Tu06UOP8d21DOU6QyxooM,콩장난감 클래식 강아지 혼자 놀기 콩토이 간식 장난감,https://shopping-phinf.pstatic.net/main_1291739/12917397794.25.jpg?type=f140,고무/실리콘,"흥미유발, 분리불안해소"
ToEzOO9HIfZQc2oa94NbL,바우링걸 강아지말번역기,https://shopping-phinf.pstatic.net/main_8244748/82447481777.jpg?type=f140,,플라스틱
T2y7c2NI1m2gf87XF69pR,강아지 장난감 이갈이 치발기 삑삑이 뾰족 공,https://shopping-phinf.pstatic.net/main_8280577/82805773740.6.jpg?type=f140,폴리에스테르,"소리나는, 흥미유발, 분리불안해소"
T2Ss8MqdRbLvqaIK4ZD0X,[세트] 해피봉봉에그 강아지라텍스장난감,https://shopping-phinf.pstatic.net/main_8462227/84622279481.jpg?type=f140,,"소리나는, 물에뜨는, 흥미유발"
TTE7fTUtfFzx5Z0zb2vlV,퍼피가드 대형견 장난감 라텍스공,https://shopping-phinf.pstatic.net/main_8055969/80559693382.1.jpg?type=f140,고무/실리콘,"소리나는, 두뇌개발, 흥미유발"
TGR8TI8iefDVJU3bS82ng,강아지 장난감 스포츠 공 아기 이갈이 실타래 라텍스,https://shopping-phinf.pstatic.net/main_9678834/9678834436.11.jpg?type=f140,고무/실리콘,"소리나는, 물에뜨는, 흥미유발"
TgeRk8ovR4DD395pgwJDJ,딩독 씨푸드 문어 1p 노즈워크 삑삑이,https://shopping-phinf.pstatic.net/main_8422424/84224248583.jpg?type=f140,폴리에스테르,"소리나는, 간식넣는, 흥미유발"
TDSnPCk452IjHIiBTI61r,딩독 츄러스 민트 핑크 1p 강아지 핸드메이드 애착인형 터그놀이,https://shopping-phinf.pstatic.net/main_8420461/84204619160.jpg?type=f140,니트,"치석케어, 분리불안해소"
TG5y0v46Gs71jz29gFD6a,딩독 씨푸드 불가사리 1p 노즈워크 삑삑이,https://shopping-phinf.pstatic.net/main_8422419/84224190398.jpg?type=f140,폴리에스테르,"소리나는, 간식넣는, 흥미유발"
TSeAFJ3Qqmbk96CwR3Pcl,패리스독 동글이캐릭터볼 라텍스 토이 강아지장난감,https://shopping-phinf.pstatic.net/main_8146775/81467757550.8.jpg?type=f140,고무/실리콘,"소리나는, 물에뜨는, 흥미유발"
TCr0sso328NcXM4t7wUSH,강아지터그놀이 치실 로프 장난감 당근터그,https://shopping-phinf.pstatic.net/main_1198699/11986995079.jpg?type=f140,실/끈,흥미유발
T7Dmnn8g48H48a1Wvm0Ps,딩독 킁킁박스 낱개 세트 바스락 강아지 노즈워크 장난감,https://shopping-phinf.pstatic.net/main_8420892/84208923681.jpg?type=f140,폴리에스테르,"소리나는, 간식넣는, 두뇌개발"
TK3Nc60dymGFw6HRLTB4f,딩독 씨푸드 가오리 1p 노즈워크 삑삑이,https://shopping-phinf.pstatic.net/main_8422424/84224241934.jpg?type=f140,폴리에스테르,"소리나는, 간식넣는, 흥미유발"
TqQM0M8134f19bbt69a2w,딩독 꼬아보개 1p 삑삑 바스락 터그놀이 장난감,https://shopping-phinf.pstatic.net/main_8420926/84209269333.jpg?type=f140,폴리에스테르,"소리나는, 간식넣는, 흥미유발"
T31Tuo614TAQHvP9GrGng,딩독 찹쌀떡 세트 1p 삑삑 바스락 터그놀이 장난감,https://shopping-phinf.pstatic.net/main_8422322/84223225325.jpg?type=f140,폴리에스테르,"소리나는, 간식넣는, 흥미유발"
TWMS3cd6N88sR838Nf5vr,기그위 러블리베어 핑크 대형견 장난감,https://shopping-phinf.pstatic.net/main_8329418/83294180271.jpg?type=f140,고무/실리콘,"소리나는, 흥미유발, 분리불안해소"
TqB53DU48gU4n3t3LXSoy,딩독 꼬마김밥 1p 삑삑 바스락 터그놀이 장난감,https://shopping-phinf.pstatic.net/main_8420924/84209240092.jpg?type=f140,폴리에스테르,"소리나는, 간식넣는, 흥미유발"
TAOk6W2OChLDqaO0YEnCc,강아지 실타래 치실 장난감 당근,https://shopping-phinf.pstatic.net/main_8007684/80076841322.2.jpg?type=f140,실/끈,"치석케어, 흥미유발"
